code,name,wac,city,state,country,globalregion,latitude,longitude
AAC,El Arish International,591,El Arish,,Egypt,Africa,31.0764,33.8333
AAD,Ad-Dabbah Airport,583,Ad-Dabbah,,Sudan,Africa,18.05,30.95
AAE,Rabah Bitat,500,Annaba,,Algeria,Africa,36.8217,7.81
AAF,Apalachicola Municipal Airport,33,Apalachicola,Florida,United States,North America,29.7333,-84.9833
AAG,Avelino Vieira,316,Arapoti,Parana,Brazil,South America,-24.1036,-49.79
AAH,Merzbrueck,429,Aachen,,Germany,Europe,50.75,6.1333
AAI,Arraias Airport,316,Arraias,Tocantins,Brazil,South America,-12.9167,-46.9333
AAJ,Cajana,379,Awaradam,,Suriname,South America,3.9,-55.3667
AAK,Aranuka Airport,824,Aranuka,,Kiribati,Australasia,0.1667,173.5833
AAL,Aalborg,419,Aalborg,,Denmark,Europe,57.0931,9.85
AAM,Mala Mala,562,Mala Mala,,South Africa,Africa,-24.8083,31.5417
AAN,Al Ain International,678,Al Ain,,United Arab Emirates,Middle East,24.2617,55.6092
AAO,Anaco,388,Anaco,,Venezuela,South America,9.4319,-64.4639
AAP,Andrau Airpark,74,Houston,Texas,United States,North America,29.8333,-95.6667
AAQ,Vityazevo,475,Anapa,Southern Federal District,Russian Federation,Europe,44.9,37.3167
AAR,Tirstrup,419,Aarhus,,Denmark,Europe,56.3103,10.6181
AAS,Apalapsili,732,Apalapsili,,Indonesia,Asia,-3.9167,139.25
AAT,Altay,713,Altay,,China,Asia,47.749943,88.084547
AAU,Asau,892,Asau,,Western Samoa,Australasia,-13.5167,-172.65
AAV,Allah Valley Airport,766,Alah,,Philippines,Asia,6.3333,124.7667
AAW,Abbottabad Airport,764,Abbottabad,,Pakistan,Asia,34.2,73.25
AAX,Araxa,316,Araxa,Minas Gerais,Brazil,South America,-19.5681,-46.9292
AAY,"Al Ghaydah, Yemen",694,"Al Ghaydah, Yemen",,Yemen,Middle East,16.2,52.1833
AAZ,Quetzaltenango,127,Quetzaltenango,,Guatemala,Central America,14.8655,-91.502
ABA,Abakan,475,Abakan,Siberian Federal District,Russian Federation,Asia,53.7167,91.4333
ABB,Asaba International Airport,555,Asaba,,Nigeria,Africa,6.2031,6.6672
ABC,Albacete Airport,482,Albacete,,Spain,Europe,38.9486,-1.8636
ABD,Abadan Intl,632,"Abadan, Iran",,Iran,Middle East,30.3661,48.2322
ABE,Lehigh Valley International,23,Allentown,Pennsylvania,United States,North America,40.6547,-75.4383
ABF,Abaiang Airport,824,Abaiang,,Kiribati,Australasia,1.6708,173.3042
ABG,Abingdon Downs Airport,802,Abingdon Downs,Queensland,Australia,Australasia,-17.6667,143.2
ABH,Alpha,802,Alpha,Queensland,Australia,Australasia,-23.7,146.5833
ABI,Abilene Regional Airport,74,Abilene,Texas,United States,North America,32.4094,-99.6797
ABJ,Felix Houphouet Boigny,533,Abidjan,,Ivory Coast (Cote d'Ivoire),Africa,5.2564,-3.9269
ABK,Kabri Dar,522,Kabri Dar,,Ethiopia,Africa,6.7339,44.2661
ABL,Ambler River,1,Ambler,Alaska,United States,North America,67.0875,-157.8458
ABM,Northern Peninsula,802,Bamaga,Queensland,Australia,Australasia,-10.9508,142.4
ABN,Albina,379,Albina,,Suriname,South America,5.4833,-54.05
ABO,Aboisso Airport,533,Aboisso,,Ivory Coast (Cote d'Ivoire),Africa,5.4333,-3.2167
ABP,Atkamba Airport,804,Atkamba,,Papua New Guinea,Australasia,-6.0667,141.1
ABQ,International Sunport,86,Albuquerque,New Mexico,United States,North America,35.0417,-106.6064
ABR,Aberdeen Regional,67,Aberdeen,South Dakota,United States,North America,45.4525,-98.4261
ABS,Abu Simbel,591,Abu Simbel,,Egypt,Africa,22.3722,31.6153
ABT,Al-Aqiq,670,Al-Baha,,Saudi Arabia,Middle East,20.2961,41.6342
ABU,Haliwen,732,Atambua,,Indonesia,Asia,-9.3333,124.9
ABV,Nnamdi Azikiwe International Airport,555,Abuja,,Nigeria,Africa,9.0056,7.2661
ABW,Abau,804,Abau,,Papua New Guinea,Australasia,-10.1667,148.7
ABX,Albury,802,Albury,New South Wales,Australia,Australasia,-36.0683,146.9767
ABY,Dougherty County,34,Albany,Georgia,United States,North America,31.5322,-84.1961
ABZ,Dyce,493,Aberdeen,Scotland,United Kingdom,Europe,57.2042,-2.1981
ACA,Acapulco International,148,Acapulco,,Mexico,North America,16.7556,-99.7669
ACB,Antrim County Airport,43,Bellaire,Michigan,United States,North America,44.9833,-85.2167
ACC,Kotoka International,529,Accra,,Ghana,Africa,5.5953,-0.1708
ACD,Alcides Fernandez,327,Acandi,,Colombia,South America,8.5167,-77.3
ACE,Lanzarote,482,Lanzarote,,Spain,Europe,28.9425,-13.6047
ACH,St Gallen-Altenrhein Airport,486,Altenrhein,,Switzerland,Europe,47.485,9.5608
ACI,Alderney,493,Alderney,Channel Islands,United Kingdom,Europe,49.7069,-2.2153
ACJ,Anuradhapura Airport,711,Anuradhapura,,Sri Lanka,Asia,8.35,80.3833
ACK,Nantucket Memorial,13,Nantucket,Massachusetts,United States,North America,41.2567,-70.0597
ACL,Aguaclara,327,Aguaclara,,Colombia,South America,4.75,-73
ACM,Arica,327,Arica,,Colombia,South America,-2.1333,-71.7833
ACN,Ciudad Acuna International,148,Ciudad Acuna,,Mexico,North America,29.3,-100.9167
ACO,Ascona Airport,486,Ascona,,Switzerland,Europe,46.1594,8.7831
ACP,Sahand Airport,632,Maragheh,,Iran,Middle East,37.3544,46.1497
ACR,Araracuara Airport,327,Araracuara,,Colombia,South America,-0.3833,-72.3
ACS,Achinsk,475,Achinsk,Siberian Federal District,Russian Federation,Asia,56.2667,90.5667
ACT,Waco Municipal,74,Waco,Texas,United States,North America,31.6114,-97.2286
ACU,Achutupo,162,Achutupo,,Panama,Central America,9.1819,-78.0155
ACV,Arcata,91,Eureka/Arcata,California,United States,North America,40.9792,-124.1075
ACX,Xingyi Airport,713,Xingyi,,China,Asia,25.0856,104.9594
ACY,Atlantic City Intl,21,Atlantic City,New Jersey,United States,North America,39.4567,-74.5778
ACZ,Zabol Airport,632,Zabol,,Iran,Middle East,31.0858,61.535
ADA,Adana Sakirpasa,679,Adana,,Turkey,Europe,36.9836,35.2808
ADB,Adnan Menderes,679,Izmir-Adnan Mend,,Turkey,Europe,38.2947,27.16
ADC,Andakombe Airport,804,Andakombe,,Papua New Guinea,Australasia,-7.1333,145.7333
ADD,Bole International,522,Addis Ababa,,Ethiopia,Africa,8.9778,38.7981
ADE,Aden International,694,Aden,,Yemen,Middle East,12.8278,45.0306
ADF,Adiyaman Airport,679,Adiyaman,,Turkey,Europe,37.7335,38.4722
ADG,Lenawee County Airport,43,Adrian,Michigan,United States,North America,41.9,-84.0333
ADH,Aldan Airport,475,Aldan,Far East Federal District,Russian Federation,Asia,58.6,125.4
ADI,Arandis,575,Arandis,,Namibia,Africa,-22.4,15
ADJ,Marka International Airpot,639,Amman,,Jordan,Middle East,31.9722,35.99
ADK,Adak Island,1,Adak Island,Alaska,United States,North America,51.8828,-176.6447
ADL,Adelaide International,802,Adelaide,South Australia,Australia,Australasia,-34.9483,138.5347
ADM,Ardmore Municipal Airport,73,Ardmore,Oklahoma,United States,North America,34.3031,-97.0194
ADN,Andes Airport,327,Andes,,Colombia,South America,5.6667,-75.9333
ADO,Andamooka,802,Andamooka,South Australia,Australia,Australasia,-30.3833,137.1958
ADP,Gal Oya,711,Ampara,,Sri Lanka,Asia,8.3,80.4167
